WL FLUX ERROR
912.0 0.0 99.0
913.0 0.0 99.0
914.0 0.0 99.0
915.0 0.0 99.0
916.0 0.0 99.0
917.0 0.0 99.0
918.0 0.0 99.0
919.0 0.0 99.0
920.0 0.0 99.0
921.0 0.0 99.0
922.0 0.0 99.0
923.0 0.0 99.0
924.0 0.0 99.0
925.0 0.0 99.0
926.0 0.0 99.0
927.0 0.0 99.0
928.0 0.0 99.0
929.0 0.0 99.0
930.0 0.0 99.0
931.0 0.0 99.0
932.0 0.0 99.0
933.0 0.0 99.0
934.0 0.0 99.0
935.0 0.0 99.0
936.0 0.0 99.0
937.0 0.0 99.0
938.0 0.0 99.0
939.0 0.0 99.0
940.0 0.0 99.0
941.0 0.0 99.0
942.0 0.0 99.0
943.0 0.0 99.0
944.0 0.0 99.0
945.0 0.0 99.0
946.0 0.0 99.0
947.0 0.0 99.0
948.0 0.0 99.0
949.0 0.0 99.0
950.0 0.0 99.0
951.0 0.0 99.0
952.0 0.0 99.0
953.0 0.0 99.0
954.0 0.0 99.0
955.0 0.0 99.0
956.0 0.0 99.0
957.0 0.0 99.0
958.0 0.0 99.0
959.0 0.0 99.0
960.0 0.0 99.0
961.0 0.0 99.0
962.0 0.0 99.0
963.0 0.0 99.0
964.0 0.0 99.0
965.0 0.0 99.0
966.0 0.0 99.0
967.0 0.0 99.0
968.0 0.0 99.0
969.0 0.0 99.0
970.0 0.0 99.0
971.0 0.0 99.0
972.0 0.0 99.0
973.0 0.0 99.0
974.0 0.0 99.0
975.0 0.0 99.0
976.0 0.0 99.0
977.0 0.0 99.0
978.0 0.0 99.0
979.0 0.0 99.0
980.0 0.0 99.0
981.0 0.0 99.0
982.0 0.0 99.0
983.0 0.0 99.0
984.0 0.0 99.0
985.0 0.0 99.0
986.0 0.0 99.0
987.0 0.0 99.0
988.0 0.0 99.0
989.0 0.0 99.0
990.0 0.0 99.0
991.0 0.0 99.0
992.0 0.0 99.0
993.0 0.0 99.0
994.0 0.0 99.0
995.0 0.0 99.0
996.0 0.0 99.0
997.0 0.0 99.0
998.0 0.0 99.0
999.0 0.0 99.0
1000.0 0.0 99.0
1001.0 0.0 99.0
1002.0 0.0 99.0
1003.0 0.0 99.0
1004.0 0.0 99.0
1005.0 0.0 99.0
1006.0 0.0 99.0
1007.0 0.0 99.0
1008.0 0.0 99.0
1009.0 0.0 99.0
1010.0 0.0 99.0
1011.0 0.0 99.0
1012.0 0.0 99.0
1013.0 0.0 99.0
1014.0 0.0 99.0
1015.0 0.0 99.0
1016.0 0.0 99.0
1017.0 0.0 99.0
1018.0 0.0 99.0
1019.0 0.0 99.0
1020.0 0.0 99.0
1021.0 0.0 99.0
1022.0 0.0 99.0
1023.0 0.0 99.0
1024.0 0.0 99.0
1025.0 0.0 99.0
1026.0 0.0 99.0
1027.0 0.0 99.0
1028.0 0.0 99.0
1029.0 0.0 99.0
1030.0 0.0 99.0
1031.0 0.0 99.0
1032.0 0.0 99.0
1033.0 0.0 99.0
1034.0 0.0 99.0
1035.0 0.0 99.0
1036.0 0.0 99.0
1037.0 0.0 99.0
1038.0 0.0 99.0
1039.0 0.0 99.0
1040.0 0.0 99.0
1041.0 0.0 99.0
1042.0 0.0 99.0
1043.0 0.0 99.0
1044.0 0.0 99.0
1045.0 0.0 99.0
1046.0 0.0 99.0
1047.0 0.0 99.0
1048.0 0.0 99.0
1049.0 0.0 99.0
1050.0 0.0 99.0
1051.0 0.0 99.0
1052.0 0.0 99.0
1053.0 0.0 99.0
1054.0 0.0 99.0
1055.0 0.0 99.0
1056.0 0.0 99.0
1057.0 0.0 99.0
1058.0 0.0 99.0
1059.0 0.0 99.0
1060.0 0.0 99.0
1061.0 0.0 99.0
1062.0 0.0 99.0
1063.0 0.0 99.0
1064.0 0.0 99.0
1065.0 0.0 99.0
1066.0 0.0 99.0
1067.0 0.0 99.0
1068.0 0.0 99.0
1069.0 0.0 99.0
1070.0 0.0 99.0
1071.0 0.0 99.0
1072.0 0.0 99.0
1073.0 0.0 99.0
1074.0 0.0 99.0
1075.0 0.0 99.0
1076.0 0.0 99.0
1077.0 0.0 99.0
1078.0 0.0 99.0
1079.0 0.0 99.0
1080.0 0.0 99.0
1081.0 0.0 99.0
1082.0 0.0 99.0
1083.0 0.0 99.0
1084.0 0.0 99.0
1085.0 0.0 99.0
1086.0 0.0 99.0
1087.0 0.0 99.0
1088.0 0.0 99.0
1089.0 0.0 99.0
1090.0 0.0 99.0
1091.0 0.0 99.0
1092.0 0.0 99.0
1093.0 0.0 99.0
1094.0 0.0 99.0
1095.0 0.0 99.0
1096.0 0.0 99.0
1097.0 0.0 99.0
1098.0 0.0 99.0
1099.0 0.0 99.0
1100.0 0.0 99.0
1101.0 0.0 99.0
1102.0 0.0 99.0
1103.0 0.0 99.0
1104.0 0.0 99.0
1105.0 0.0 99.0
1106.0 0.0 99.0
1107.0 0.0 99.0
1108.0 0.0 99.0
1109.0 0.0 99.0
1110.0 0.0 99.0
1111.0 0.0 99.0
1112.0 0.0 99.0
1113.0 0.0 99.0
1114.0 0.0 99.0
1115.0 0.0 99.0
1116.0 0.0 99.0
1117.0 0.0 99.0
1118.0 0.0 99.0
1119.0 0.0 99.0
1120.0 0.0 99.0
1121.0 0.0 99.0
1122.0 0.0 99.0
1123.0 0.0 99.0
1124.0 0.0 99.0
1125.0 0.0 99.0
1126.0 0.0 99.0
1127.0 0.0 99.0
1128.0 0.0 99.0
1129.0 0.0 99.0
1130.0 0.0 99.0
1131.0 3.7670961476929904e-15 5.180134312099356e-16
1132.0 3.8215385098063895e-15 5.096833808979806e-16
1133.0 1.9079942293121568e-15 4.1674667921051e-16
1134.0 2.3093357959206963e-15 3.4031277806826847e-16
1135.0 3.3114910508235143e-15 2.980182069393507e-16
1136.0 3.978699846864131e-15 3.029889335032714e-16
1137.0 4.553959844274067e-15 2.9494260718619196e-16
1138.0 4.1212165287202485e-15 2.766336989760923e-16
1139.0 2.8788448041472583e-15 2.3202491111607417e-16
1140.0 4.015440002154259e-15 2.337056613539681e-16
1141.0 3.6343876063575925e-15 2.210076116377976e-16
1142.0 2.984097207752749e-15 2.1440815134116117e-16
1143.0 1.5361132820681427e-15 2.018862213630636e-16
1144.0 2.4728859053648535e-15 2.015431257084696e-16
1145.0 1.7422946967147956e-15 2.0101809050158277e-16
1146.0 4.398814005235604e-15 2.2361061533257364e-16
1147.0 4.197971452042322e-15 2.240633034888628e-16
1148.0 4.418744383375574e-15 2.222458454802515e-16
1149.0 4.896080065699405e-15 2.246274853731703e-16
1150.0 4.812499842004861e-15 2.1989288940700644e-16
1151.0 3.2613751763379888e-15 2.1086954018579375e-16
1152.0 4.653830652546929e-15 2.09322086491386e-16
1153.0 4.224601539131246e-15 2.0393063741623303e-16
1154.0 3.513055282613632e-15 1.9838735050474653e-16
1155.0 3.596139875481838e-15 1.9700904827931142e-16
1156.0 4.07526113966551e-15 1.9745977325527407e-16
1157.0 4.41856207602385e-15 1.9853066317614777e-16
1158.0 3.384012680175398e-15 1.9498796518847954e-16
