WL FLUX ERROR
900.0 0.0 99.0
900.44 0.0 99.0
900.88 0.0 99.0
901.32 0.0 99.0
901.77 0.0 99.0
902.21 0.0 99.0
902.65 0.0 99.0
903.09 0.0 99.0
903.54 0.0 99.0
903.98 0.0 99.0
904.42 0.0 99.0
904.87 0.0 99.0
905.31 0.0 99.0
905.75 0.0 99.0
906.2 0.0 99.0
906.64 0.0 99.0
907.09 0.0 99.0
907.53 0.0 99.0
907.98 0.0 99.0
908.42 0.0 99.0
908.87 0.0 99.0
909.31 0.0 99.0
909.76 0.0 99.0
910.21 0.0 99.0
910.65 0.0 99.0
911.1 0.0 99.0
911.54 0.0 99.0
911.99 0.0 99.0
912.44 0.0 99.0
912.89 0.0 99.0
913.33 0.0 99.0
913.78 0.0 99.0
914.23 0.0 99.0
914.68 0.0 99.0
915.13 0.0 99.0
915.58 0.0 99.0
916.02 0.0 99.0
916.47 0.0 99.0
916.92 0.0 99.0
917.37 0.0 99.0
917.82 0.0 99.0
918.27 0.0 99.0
918.72 0.0 99.0
919.17 0.0 99.0
919.62 0.0 99.0
920.08 0.0 99.0
920.53 0.0 99.0
920.98 0.0 99.0
921.43 0.0 99.0
921.88 0.0 99.0
922.33 0.0 99.0
922.78 0.0 99.0
923.24 0.0 99.0
923.69 0.0 99.0
924.14 0.0 99.0
924.6 0.0 99.0
925.05 0.0 99.0
925.5 0.0 99.0
925.96 0.0 99.0
926.41 0.0 99.0
926.87 0.0 99.0
927.32 0.0 99.0
927.78 0.0 99.0
928.23 0.0 99.0
928.68 0.0 99.0
929.14 0.0 99.0
929.6 0.0 99.0
930.05 0.0 99.0
930.51 0.0 99.0
930.97 0.0 99.0
931.42 0.0 99.0
931.88 0.0 99.0
932.34 0.0 99.0
932.79 0.0 99.0
933.25 0.0 99.0
933.71 0.0 99.0
934.16 0.0 99.0
934.62 0.0 99.0
935.08 0.0 99.0
935.54 0.0 99.0
936.0 0.0 99.0
936.46 0.0 99.0
936.92 0.0 99.0
937.38 0.0 99.0
937.84 0.0 99.0
938.3 0.0 99.0
938.76 0.0 99.0
939.22 0.0 99.0
939.68 0.0 99.0
940.14 0.0 99.0
940.6 0.0 99.0
941.06 0.0 99.0
941.52 0.0 99.0
941.98 0.0 99.0
942.45 0.0 99.0
942.91 0.0 99.0
943.37 0.0 99.0
943.83 0.0 99.0
944.29 0.0 99.0
944.76 0.0 99.0
945.22 0.0 99.0
945.68 0.0 99.0
946.15 0.0 99.0
946.61 0.0 99.0
947.08 0.0 99.0
947.54 0.0 99.0
948.01 0.0 99.0
948.47 0.0 99.0
948.93 0.0 99.0
949.4 0.0 99.0
949.87 0.0 99.0
950.33 0.0 99.0
950.8 0.0 99.0
951.26 0.0 99.0
951.73 0.0 99.0
952.2 0.0 99.0
952.66 0.0 99.0
953.13 0.0 99.0
953.6 0.0 99.0
954.07 0.0 99.0
954.53 0.0 99.0
955.0 0.0 99.0
955.47 0.0 99.0
955.94 0.0 99.0
956.41 0.0 99.0
956.88 0.0 99.0
957.35 0.0 99.0
957.82 0.0 99.0
958.28 0.0 99.0
958.76 0.0 99.0
959.23 0.0 99.0
959.7 0.0 99.0
960.17 0.0 99.0
960.64 0.0 99.0
961.11 0.0 99.0
961.58 0.0 99.0
962.05 0.0 99.0
962.52 0.0 99.0
962.99 0.0 99.0
963.47 0.0 99.0
963.94 0.0 99.0
964.41 0.0 99.0
964.89 0.0 99.0
965.36 0.0 99.0
965.83 0.0 99.0
966.31 0.0 99.0
966.78 0.0 99.0
967.25 0.0 99.0
967.73 0.0 99.0
968.2 0.0 99.0
